country,location_name,dedication,contract_type,satisfaction_with_income,looking_for_job,job_title,years_of_experience,seniority_in_company,time_in_position,work_modality,state,career,university,age,gender_identity,seniority,annual_base_pay
Argentina,Córdoba,Full-Time,Staff (permanent),4,"No, I am very satisfied.",QA / Tester,3.0,1.0,3.0,100% remoto,Completed,Licenciatura en Tecnología Educativa,UTN - Universidad Tecnológica Nacional,29,Female,Semi-Senior,8500.8
Argentina,Córdoba,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Key account manager,2.0,3.0,2.0,Hybrid (in-person and remote),In progress,Lic. en Relaciones Internacionales,Universidad Siglo 21,28,Female,Junior,8332.8
Argentina,Buenos Aires,Full-Time,Staff (permanent),3,"No, but I am open to offers.",HelpDesk,15.0,1.0,1.0,100% remoto,,,,41,Male,Senior,15624.0
Argentina,Córdoba,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Developer,3.0,2.0,2.0,100% remoto,Completed,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,24,Male,Semi-Senior,7728.0
Argentina,Buenos Aires,Full-Time,Staff (permanent),2,"No, but I am open to offers.",Consultant,5.0,0.0,0.0,Hybrid (in-person and remote),,,,30,Male,Semi-Senior,10449.599999999999
Argentina,Córdoba,Full-Time,Staff (permanent),3,"No, I am very satisfied.",QA / Tester,0.0,0.0,0.0,Hybrid (in-person and remote),Completed,Ingeniería en Mecatrónica,UNCUYO - Universidad Nacional de Cuyo,25,Male,Junior,8097.599999999999
Argentina,Buenos Aires,Full-Time,Contract,3,"No, but I am open to offers.",Technical Leader,16.0,1.0,1.0,Hybrid (in-person and remote),,,,48,Male,Senior,12116.16
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Architect,5.0,1.5,1.5,100% remoto,,,,45,Male,Semi-Senior,21638.4
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Data Engineer,1.0,1.0,1.0,100% remoto,,,,23,Male,Junior,11088.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Developer,1.0,1.0,1.0,100% remoto,In progress,Licenciatura en Informática,UNGS - Universidad Nacional de General Sarmiento,21,Male,Junior,5040.0
Argentina,Buenos Aires City,Full-Time,Staff (permanent),2,"No, but I am open to offers.",IT Governance Head,20.0,1.0,1.0,Hybrid (in-person and remote),,,,44,Male,Senior,23184.0
Argentina,Buenos Aires,Full-Time,Staff (permanent),3,"No, but I am open to offers.",Developer,4.0,2.0,2.0,Hybrid (in-person and remote),,,,37,Varón,Semi-Senior,15220.800000000001
